Date,Description,Amount
2025-07-25,Zomato,300.00
2025-07-27,Uber,120.00
2025-07-28,Amazon,999.00
2025-07-29,Flipkart,500.00
2025-07-30,Paytm,100.00
2025-07-31,Google,200.00
2025-08-01,Netflix,150.00
2025-08-02,Amazon,999.00
2025-08-03,Flipkart,500.00
2025-08-04,Paytm,100.00
2025-08-05,Google,200.00
2025-08-06,Netflix,150.00
2025-08-07,Amazon,999.00
2025-08-08,Flipkart,500.00
2025-08-09,Paytm,100.00
2025-08-10,Google,200.00
2025-08-11,Netflix,150.00
2025-08-12,Amazon,999.00
2025-08-13,Flipkart,500.00
2025-08-14,Paytm,100.00
2025-08-15,Google,200.00
2025-08-16,Netflix,150.00
2025-08-17,Amazon,999.00
2025-08-18,Flipkart,500.00
2025-08-19,Paytm,100.00
2025-08-20,Google,200.00
2025-08-21,Netflix,150.00
2025-08-22,Amazon,999.00
2025-08-23,Flipkart,500.00
2025-08-24,Paytm,100.00
2025-08-25,Google,200.00
2025-08-26,Netflix,150.00
2025-08-27,Amazon,999.00
2025-08-28,Flipkart,500.00
2025-08-29,Paytm,100.00
2025-08-30,Google,200.00
2025-08-31,Netflix,150.00
